job_title, company_name, job_type
2D Illustrator - Alexandria, Arabic Localizer -, Full Time
Egypt: Illustrator, Twinkl ltd -, Full Time
Illustrator Designer - 3 days a week, Smart EGAT -, Part Time
Sr. Graphic designer and Motion Graphic, JIWA developments -, Full Time
Senior Graphic Designer, TACC Network -, Full Time
Graphic Designer, Better Home -, Internship
Senior Graphic Designer, Confidential -, Full Time
UI/UX Web Designer, Confidential -, Full Time
Graphic Designer, Amr Helmy Designs -, Full Time
UI/UX Designer, Arabia for Information Technology -, Full Time
Senior Graphic Designer, Confidential -, Full Time
Graphic Designer, The Factory -, Full Time
Motions Designer, Mico World Limited -, Full Time
UI/UX Designer (On-Site), Union Coop -, Full Time
Senior Graphic Designer - Printing Background, HPH -, Full Time
